Date,Label,Distance,Competition,Venue,Country,Men's winner,Women's winner
7 January 2012,Gold,Marathon,Xiamen International Marathon,Xiamen,China,[[]] (),[[]] ()
15 January 2012,Gold,Marathon,Standard Chartered Mumbai Marathon,Mumbai,India,[[]] (),[[]] ()
27 January 2012,Gold,Marathon,Standard Chartered Dubai Marathon,Dubai,United Arab Emirates,[[]] (),[[]] ()
29 January 2012,Silver,Marathon,Osaka Women's Marathon,Osaka,Japan,[[]] (),[[]] ()
5 February 2012,Silver,Half marathon,Kagawa Marugame Half Marathon,Marugame,Japan,[[]] (),[[]] ()
5 February 2012,Silver,Marathon,61st Beppu-Oita Mainichi Marathon,Ōita,Japan,[[]] (),[[]] ()
5 February 2012,Bronze,Marathon,Standard Chartered Hong Kong Marathon,Hong Kong,China,[[]] (),[[]] ()
17 February 2012,Gold,Half marathon,RAK Half Marathon,Ras Al Khaimah,United Arab Emirates,[[]] (),[[]] ()
26 February 2012,Gold,10K run,World's Best 10k Race,San Juan,Puerto Rico,[[]] (),[[]] ()
26 February 2012,Gold,Marathon,Tokyo Marathon,Tokyo,Japan,[[]] (),[[]] ()
26 February 2012,Silver,Half marathon,Rome-Ostia Half Marathon,Rome,Italy,[[]] (),[[]] ()
4 March 2012,Gold,Marathon,Lake Biwa Mainichi Marathon,Ōtsu,Japan,[[]] (),[[]] ()
11 March 2012,Gold,Marathon,Nagoya Women's Marathon,Nagoya,Japan,[[]] (),[[]] ()
18 March 2012,Gold,Marathon,Maratona di Rome Acea,Rome,Italy,[[]] (),[[]] ()
18 March 2012,Gold,Marathon,Seoul International Marathon,Seoul,South Korea,[[]] (),[[]] ()
25 March 2012,Gold,Half marathon,EDP Half Marathon of Lisbon,Lisbon,Portugal,[[]] (),[[]] ()
31 March 2012,Gold,Half marathon,Hervis Prague Half Marathon,Prague,Czech Republic,[[]] (),[[]] ()
8 April 2012,Bronze,Marathon,Mangyongdae Prize Marathon,Pyongyang,North Korea,[[]] (),[[]] ()
15 April 2012,Gold,Marathon,Marathon de Paris,Paris,France,[[]] (),[[]] ()
15 April 2012,Silver,10K run,SPAR Great Ireland Run,Dublin,Ireland,[[]] (),[[]] ()
15 April 2012,Silver,Marathon,ABN AMRO Marathon Rotterdam,Rotterdam,Netherlands,[[]] (),[[]] ()
15 April 2012,Bronze,Marathon,Olympic Commemorative Marathon,Nagano,Japan,[[]] (),[[]] ()
15 April 2012,Bronze,Marathon,Brighton Marathon,Brighton,United Kingdom,[[]] (),[[]] ()
15 April 2012,Gold,Marathon,Vienna City Marathon,Vienna,Austria,[[]] (),[[]] ()
16 April 2012,Gold,Marathon,B.A.A. Boston Marathon,Boston,United States,[[]] (),[[]] ()
22 April 2012,Gold,Marathon,Virgin London Marathon,London,United Kingdom,[[]] (),[[]] ()
22 April 2012,Silver,Marathon,Madrid Marathon,Madrid,Spain,[[]] (),[[]] ()
29 April 2012,Bronze,Marathon,Metro Group Marathon Düsseldorf,Düsseldorf,Germany,[[]] (),[[]] ()
29 April 2012,Silver,Half marathon,Yangzhou Jianzhen International Half Marathon,Yangzhou,China,[[]] (),[[]] ()
6 May 2012,Bronze,Marathon,TUI Marathon Hannover,Hannover,Germany,[[]] (),[[]] ()
13 May 2012,Gold,Marathon,Volkswagen Prague Marathon,Prague,Czech Republic,[[]] (),[[]] ()
20 May 2012,Gold,10K run,BUPA Great Manchester Run,Manchester,United Kingdom,[[]] (),[[]] ()
20 May 2012,Bronze,Marathon,Nordea Riga Marathon,Riga,Latvia,[[]] (),[[]] ()
26 May 2012,Silver,10K run,Ottawa 10K Road Race,Ottawa,Canada,[[]] (),[[]] ()
27 May 2012,Gold,10K run,TCS World 10K Bangalore,Bangalore,India,[[]] (),[[]] ()
27 May 2012,Silver,Marathon,Ottawa Marathon,Ottawa,Canada,[[]] (),[[]] ()
2 June 2012,Silver,5K run,Freihofer's Run for Women 5K,Albany,United States,[[]] (),[[]] ()
23 June 2012,Bronze,10K run,Corrida de Langueux - Côtes d'Armor,Langueux,France,[[]] (),[[]] ()
23 June 2012,Bronze,10K run,Vidovdan Road Race,Brčko,Bosnia and Herzegovina,[[]] (),[[]] ()
29 July 2012,Gold,Half marathon,Bogota Intl. Half Marathon,Bogotá,Colombia,[[]] (),[[]] ()
12 August 2012,Bronze,Marathon,Siberian International Marathon,Omsk,Russia,[[]] (),[[]] ()
8 September 2012,Silver,10K run,Metro 10Km,Prague,Czech Republic,[[]] (),[[]] ()
9 September 2012,Bronze,Half marathon,Semi-Marathon Intl Auray-Vannes,Auray-Vannes,France,[[]] (),[[]] ()
16 September 2012,Gold,Half marathon,BUPA Great North Run,Newcastle upon Tyne,United Kingdom,[[]] (),[[]] ()
16 September 2012,Gold,10K run,Giro Podistico Internazionale di Castelbuono,Castelbuono,Italy,[[]] (),[[]] ()
30 September 2012,Gold,Marathon,BMW Berlin Marathon,Berlin,Germany,[[]] (),[[]] ()
30 September 2012,Gold,Half marathon,"Rock ""N"" Roll Portugal Half Marathon",Lisbon,Portugal,[[]] (),[[]] ()
30 September 2012,Gold,Half marathon,Airtel Delhi Half Marathon,Delhi,India,[[]] (),[[]] ()
7 October 2012,Gold,Marathon,Bank of America Chicago Marathon,Chicago,United States,[[]] (),[[]] ()
14 October 2012,Silver,Marathon,Scotiabank Toronto Waterfront Marathon,Toronto,Canada,[[]] (),[[]] ()
14 October 2012,Bronze,20K run,20 Kilomètres de Paris,Paris,France,[[]] (),[[]] ()
14 October 2012,Silver,Marathon,Marathon Eindhoven,Eindhoven,Netherlands,[[]] (),[[]] ()
21 October 2012,Silver,Marathon,Gyeongju International Marathon,Gyeongju,South Korea,[[]] (),[[]] ()
21 October 2012,Bronze,Half marathon,BUPA Great Birmingham Run,Birmingham,United Kingdom,[[]] (),[[]] ()
21 October 2012,Silver,Marathon,TCS Amsterdam Marathon,Amsterdam,Netherlands,[[]] (),[[]] ()
28 October 2012,Gold,10 miles,BUPA Great South Run,Portsmouth,United Kingdom,[[]] (),[[]] ()
28 October 2012,Silver,Half marathon,Marseille Cassis Classique Int.le,Marseille,France,[[]] (),[[]] ()
28 October 2012,Silver,Marathon,Venice Marathon,Venice,Italy,[[]] (),[[]] ()
28 October 2012,Gold,Marathon,Chosunilbo Chuncheon Intl. Marathon,Chuncheon,South Korea,[[]] (),[[]] ()
28 October 2012,Gold,Marathon,BMW Frankfurt Marathon,Frankfurt,Germany,[[]] (),[[]] ()
4 November 2012,Gold,Marathon,ING New York City Marathon,New York City,United States,Cancelled,Cancelled
4 November 2012,Silver,Marathon,Joongang Seoul Marathon,Seoul,South Korea,[[]] (),[[]] ()
11 November 2012,Gold,Marathon,34th Intercontinental Istanbul Eurasia Marathon,Istanbul,Turkey,[[]] (),[[]] ()
11 November 2012,Bronze,Marathon,Blom Beirut Marathon,Beirut,Lebanon,[[]] (),[[]] ()
18 November 2012,Bronze,Half marathon,Semi-Marathon de Boulogne-Billancourt,Boulogne-Billancourt,France,[[]] (),[[]] ()
18 November 2012,Silver,Marathon,Yokohama Women's Marathon,Yokohama,Japan,[[]] (),[[]] ()
18 November 2012,Gold,Marathon,Turin Marathon,Turin,Italy,[[]] (),[[]] ()
25 November 2012,Gold,Marathon,Beijing Marathon,Beijing,China,[[]] (),[[]] ()
2 December 2012,Gold,Marathon,66th Fukuoka International Marathon,Fukuoka,Japan,[[]] (),[[]] ()
2 December 2012,Gold,Marathon,Standard Chartered Singapore Marathon,Singapore,Singapore,[[]] (),[[]] ()
31 December 2012,Silver,10K run,San Silvestre Vallecana,Madrid,Spain,[[]] (),[[]] ()
