Position,FirstName,LastName,Nationality,Time
1,Josia,Thugwane,South Africa,2:12:36 
2,Lee,Bong-Ju,South Korea,2:12:39
3,Erick,Wainaina,Kenya,2:12:44
4,Martín,Fiz,Spain,2:13:20
5,Richard,Nerurkar,Great Britain,2:13:39
6,Germán,Silva,Mexico,2:14:29
7,Steve,Moneghetti,Australia,2:14:35
8,Benjamín,Paredes,Mexico,2:14:55
9,Danilo,Goffi,Italy,2:15:08
10,Luiz Antonio,dos Santos,Brazil,2:15:55
11,Carlos,Grisales,Colombia,2:15:56
12,Kim,Yi-Yong,South Korea,2:16:17
13,Tendai,Chimusasa,Zimbabwe,2:16:31
14,António Pinto,Coelho,Portugal,2:16:41
15,Dionicio,Cerón,Mexico,2:16:48
16,Mwenze,Kalombo,Zaire,2:17:01
17,Leszek,Beblo,Poland,2:17:04
18,Alberto,Juzdado,Spain,2:17:24
19,Hiromi,Taniguchi,Japan,2:17:26
20,Salvatore,Bettiol,Italy,2:17:27
21,Peter,Fonseca,Canada,2:17:28
22,Rolando,Vera,Ecuador,2:17:40
23,Roderic,De Highden,Australia,2:17:42
24,José Luis,Molina,Costa Rica,2:17:49
25,Domingos,Castro,Portugal,2:18:03
26,Tahar,Mansouri,Tunisia,2:18:06
27,Lawrence,Peu,South Africa,2:18:09
28,Keith,Brantly,United States of America,2:18:17
29,Thabiso,Relekhetla,Lesotho,2:18:26
30,Hristo,Stefanov,Bulgaria,2:18:29
31,Bob,Kempainen,United States of America,2:18:38
32,Harri,Hänninen,Finland,2:18:41
33,Gert,Thys,South Africa,2:18:55
34,Sean,Quilty,Australia,2:19:35
35,Carey,Nelson,Canada,2:19:39
36,Spyridon,Andriopoulos,Greece,2:19:41
37,Oleg,Strizhakov,Russia,2:19:51
38,Kim,Jung-Won,North Korea,2:19:54
39,Bruce,Deacon,Canada,2:19:56
40,Kim,Jong-Su,North Korea,2:20:19
41,Mark,Coogan,United States of America,2:20:27
42,Hussein Ahmed,Salah,Djibouti,2:20:33
43,Pyotro,Sarafinyuk,Ukraine,2:20:37
44,Abdelkader,El Mouaziz,Morocco,2:20:39
45,Bert,van Vlaanderen,Netherlands,2:20:48
46,Manuel,Matias,Portugal,2:20:58
47,Vanderlei,de Lima,Brazil,2:21:01
48,Konrad,Dobler,Germany,2:21:12
49,Borislav,Devic,Yugoslavia,2:21:22
50,Davide,Milesi,Italy,2:21:45
51,Aleksandrs,Prokopcuks,Latvia,2:21:50
52,Lameck,Aguta,Kenya,2:22:04
53,Diego,García,Spain,2:22:11
54,Masaki,Oya,Japan,2:22:13
55,Peter,Whitehead,Great Britain,2:22:37
56,Ezequiel,Bitok,Kenya,2:23:03
57,Hsu,Gi-Sheng,Chinese Taipei,2:23:04
58,Pavel,Loskutov,Estonia,2:23:14
59,Rubén,Maza,Venezuela,2:23:24
60,Steve,Brace,Great Britain,2:22:28
61,Grzegorz,Gajdus,Poland,2:23:41
62,Isaac,Simelane,Swaziland,2:23:43
63,Nazerdin,Akylbekov,Kyrgyzstan,2:23:59
64,Anders,Szalkai,Sweden,2:24:27
65,John,Mwathiwa,Malawi,2:24:45
66,Leonid,Shvetsov,Russia,2:24:49
67,Eddy,Hellebuyck,Belgium,2:25:04
68,Ahmad,Adam,Qatar,2:25:12
69,Ikaji,Salum,Tanzania,2:25:29
70,Pavelas,Fedorenka,Lithuania,2:25:41
71,Miguel,Mallqui,Peru,2:25:56
72,Ethel,Hudson,Indonesia,2:26:02
73,Diamantino,dos Santos,Brazil,2:26:53
74,Tika Bahadur,Bogate,Nepal,2:27:04
75,Ronnie,Holassie,Trinidad and Tobago,2:27:20
76,Joseph,Tjitunga,Namibia,2:27:52
77,Valeriu,Vlas,Moldova,2:28:36
78,Tonado Daniel,Sibandze,Swaziland,2:28:49
79,Waldemar,Cotelo,Uruguay,2:28:50
80,Petko,Stefanov,Bulgaria,2:29:06
81,Abebe,Mekonnen,Ethiopia,2:29:45
82,Luis,Martínez,Guatemala,2:29:55
83,Sean,Wade,New Zealand,2:30:35
84,Abderrahim,ben Redouane,Morocco,2:30:49
85,Abdou,Manzo,Niger,2:30:57
86,Marcelo,Barrientos,Chile,2:31:05
87,Antoni,Bernadó,Andorra,2:31:28
88,Adel,Adili,Libya,2:32:12
89,Carlos,Tarazona,Venezuela,2:32:35
90,Tharcisse,Gashaka,Burundi,2:32:55
91,Policarpio,Calizaya,Bolivia,2:33:08
92,Simon,Qamunga,Tanzania,2:33:11
93,Kenjiro,Jitsui,Japan,2:33:27
94,Antonio Carlos,Zeferino,Cape Verde,2:34:13
95,Pamenos,Ballantyne,Saint Vincent and the Grenadines,2:34:16
96,Kaleka,Mutoke,Zaire,2:34:40
97,Ernest,Ndjissipou,Central African Republic,2:35:55
98,Ali,El Tounsi,Morocco,2:36:01
99,William,Aguirre,Nicaragua,2:37:02
100,Roy,Vence,Philippines,2:37:10
101,Mohamed,Al-Saadi,Yemen,2:40:41
102,Julio,Hernández,Colombia,2:41:56
103,Ajay,Chuttoo,Mauritius,2:42:07
104,Nils,Antonio,Jamaica,2:44:10
105,Rithya,To,Cambodia,2:47:10
106,Maximo,Oliveras,Puerto Rico,2:47:15
107,Islam,Djugum,Bosnia and Herzegovina,2:47:38
108,Marlon,Selwyn Williams,Virgin Islands,2:48:26
109,Eugene,Muslar,Belize,2:51:41
110,Abdi,Isak,Somalia,2:59:55
111,Abdel Baser,Wasiqi,Afghanistan,4:24:17
